# DAB/DAB+ Automotive Audio Decoder Test Harness Execution Log
# Input: english_dab_plus.au | Codec: HE-AAC v2 | Sample Rate: 48000 Hz
# Frame	AU_Len	AU_Status	Conceal_Mode	Mute_State	Gain_Q15	Quality	Trigger	Samples
339	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
340	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
341	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
342	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
343	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
344	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
345	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
346	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
347	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
348	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
349	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
350	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
351	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
352	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
353	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
354	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
355	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
356	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
357	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
358	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
359	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
360	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
361	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
362	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
363	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
364	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
365	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
366	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
367	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
368	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
369	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
370	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
371	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
372	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
373	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
374	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
375	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
376	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
377	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
378	357	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
379	362	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
380	375	CRC_ERR	MUTED	SUSTAIN	0	0	0b10	960
